City,State,Start Month,End Month,Year-Round?,Peak Season Start,Peak Season End
Scottsdale,AZ,N/A,N/A,Yes,October,May
Orlando,FL,N/A,N/A,Yes,October,April
Palm Springs,CA,N/A,N/A,Yes,October,May
Myrtle Beach,SC,March,November,No,March,May
Phoenix,AZ,N/A,N/A,Yes,October,May
Tucson,AZ,N/A,N/A,Yes,October,May
Sedona,AZ,N/A,N/A,Yes,October,May
Mesa,AZ,N/A,N/A,Yes,October,May
Chandler,AZ,N/A,N/A,Yes,October,May
Gilbert,AZ,N/A,N/A,Yes,October,May
Glendale,AZ,N/A,N/A,Yes,October,May
Peoria,AZ,N/A,N/A,Yes,October,May
Fountain Hills,AZ,N/A,N/A,Yes,October,May
Tempe,AZ,N/A,N/A,Yes,October,May
Miami,FL,N/A,N/A,Yes,November,March
Naples,FL,N/A,N/A,Yes,November,April
Tampa,FL,N/A,N/A,Yes,November,April
St. Petersburg,FL,N/A,N/A,Yes,November,April
Jacksonville,FL,N/A,N/A,Yes,October,May
Boca Raton,FL,N/A,N/A,Yes,November,April
Palm Beach,FL,N/A,N/A,Yes,November,April
Sarasota,FL,N/A,N/A,Yes,November,April
Fort Myers,FL,N/A,N/A,Yes,November,April
Daytona Beach,FL,N/A,N/A,Yes,November,April
West Palm Beach,FL,N/A,N/A,Yes,November,April
Fort Lauderdale,FL,N/A,N/A,Yes,November,April
Panama City,FL,N/A,N/A,Yes,October,May
Destin,FL,N/A,N/A,Yes,October,May
Key West,FL,N/A,N/A,Yes,November,April
San Diego,CA,N/A,N/A,Yes,October,May
Carlsbad,CA,N/A,N/A,Yes,October,May
La Quinta,CA,N/A,N/A,Yes,October,May
Indian Wells,CA,N/A,N/A,Yes,October,May
Rancho Mirage,CA,N/A,N/A,Yes,October,May
Palm Desert,CA,N/A,N/A,Yes,October,May
Newport Beach,CA,N/A,N/A,Yes,October,May
Los Angeles,CA,N/A,N/A,Yes,October,May
Monterey,CA,N/A,N/A,Yes,April,October
Pebble Beach,CA,N/A,N/A,Yes,April,October
San Francisco,CA,N/A,N/A,Yes,April,October
Honolulu,HI,N/A,N/A,Yes,December,April
Maui (Kahului),HI,N/A,N/A,Yes,December,April
Kona,HI,N/A,N/A,Yes,December,April
Kauai (Lihue),HI,N/A,N/A,Yes,December,April
Hilton Head,SC,March,November,No,March,May
Kiawah Island,SC,March,November,No,March,May
Charleston,SC,March,November,No,March,May
Greenville,SC,April,October,No,May,September
Pinehurst,NC,April,October,No,May,September
Wilmington,NC,April,October,No,May,September
Asheville,NC,April,October,No,May,September
Charlotte,NC,April,October,No,May,September
Raleigh,NC,April,October,No,May,September
Augusta,GA,N/A,N/A,Yes,March,May
Savannah,GA,N/A,N/A,Yes,March,May
Sea Island,GA,N/A,N/A,Yes,April,October
Jekyll Island,GA,N/A,N/A,Yes,April,October
Atlanta,GA,N/A,N/A,Yes,April,October
Las Vegas,NV,N/A,N/A,Yes,October,May
Henderson,NV,N/A,N/A,Yes,October,May
Mesquite,NV,N/A,N/A,Yes,October,May
Reno,NV,April,October,No,May,September
Dallas,TX,N/A,N/A,Yes,October,May
Fort Worth,TX,N/A,N/A,Yes,October,May
Austin,TX,N/A,N/A,Yes,October,May
San Antonio,TX,N/A,N/A,Yes,October,May
Houston,TX,N/A,N/A,Yes,October,May
Galveston,TX,N/A,N/A,Yes,October,May
Corpus Christi,TX,N/A,N/A,Yes,October,May
El Paso,TX,N/A,N/A,Yes,October,May
Birmingham,AL,N/A,N/A,Yes,October,May
Mobile,AL,N/A,N/A,Yes,October,May
Gulf Shores,AL,N/A,N/A,Yes,October,May
Biloxi,MS,N/A,N/A,Yes,October,May
Gulfport,MS,N/A,N/A,Yes,October,May
Jackson,MS,N/A,N/A,Yes,October,May
New Orleans,LA,N/A,N/A,Yes,October,May
Baton Rouge,LA,N/A,N/A,Yes,October,May
Lafayette,LA,N/A,N/A,Yes,October,May
Nashville,TN,April,October,No,May,September
Knoxville,TN,April,October,No,May,September
Memphis,TN,April,October,No,May,September
